measure_time,SPEC-O3,SPEC-CO,SPEC-NO2,SPEC-SO2
2023-03-12 14:00:00,-2.34375,9.895833651333334,-11.979166666666666,131.0872396
2023-03-12 15:00:00,-2.571614663,8.333333333333334,-12.109374683333334,110.67708333333333
2023-03-12 16:00:00,-2.712673558111111,6.759982373888889,-11.15451399488889,87.64105903888888
2023-03-12 17:00:00,-2.441406012,5.46875,-11.23046875,70.1171875
2023-03-12 18:00:00,-2.5878905055,4.6386721135,-11.035156725,56.591796875
2023-03-12 19:00:00,-2.5390625,4.199218273,-12.6953125,47.4609375
2023-03-12 20:00:00,-2.148437023,3.808593988,-13.4765625,40.576171875
2023-03-12 21:00:00,-2.03125,3.7695311548,-14.55078125,38.0078125
2023-03-12 22:00:00,-2.31933599725,3.344726503,-13.7207028875,35.888671875
2023-03-12 23:00:00,-2.701822678333333,3.4667966763333333,-13.509114583333334,35.042317708333336
2023-03-13 00:00:00,-2.2460936703333334,3.2552083333333335,-14.225260416666666,33.30078125
2023-03-13 01:00:00,-2.2460939885,3.0761719945,-13.37890625,34.86328125
2023-03-13 02:00:00,-2.4414060116666665,3.352864345,-13.28125,33.88671875
2023-03-13 03:00:00,-2.1728517414999997,3.34472650275,-13.1591801625,33.0810546875
2023-03-13 04:00:00,-2.2042412757142857,3.2924105779999997,-11.74665192142857,32.882254464285715
2023-03-13 05:00:00,-2.34374976175,3.393554747,-11.1328125,31.9091796875
2023-03-13 06:00:00,-2.148437977,3.125,-11.328125,32.8125
2023-03-13 07:00:00,-2.050781011666667,3.0924479963333336,-10.677083333333334,31.966145833333332
2023-03-13 08:00:00,-2.115885655,3.710937977,-11.197916983333334,36.360677083333336
2023-03-13 09:00:00,-2.734375,3.710937977,-9.765625,38.8671875
2023-03-13 10:00:00,-1.855468988,3.8085939885,-12.0605464,41.650390625
2023-03-13 11:00:00,-2.1158853373333333,4.101562261333333,-10.05859375,40.592447916666664
2023-03-13 12:00:00,-2.685546994,3.7597659825000003,-10.05859375,41.357421875
2023-03-13 13:00:00,-2.4414060115,3.857421994,-10.205078125,40.966796875
2023-03-13 14:00:00,-2.636718988,3.90625,-9.960938454,43.75
2023-03-13 15:00:00,-2.2042411394285715,3.8783484184285717,-10.058594022,43.21986607142857
2023-03-13 16:00:00,-2.929687977,3.466796994,-8.935546875,40.087890625
2023-03-13 17:00:00,-2.539062023,3.90625,-9.66796875,40.91796875
2023-03-13 18:00:00,-2.4902347325000003,3.7109374405,-9.9609375,39.892578125
2023-03-13 19:00:00,-2.5878905055,3.808593988,-10.107421875,38.232421875
2023-03-13 20:00:00,-2.0996090174999997,3.613281012,-10.009766102,37.744140625
2023-03-13 21:00:00,-2.441406012,3.5156249996666666,-9.960937818,37.727864583333336
2023-03-13 22:00:00,-2.34375,3.710937977,-9.765625,36.1328125
2023-03-13 23:00:00,-2.0996094941666668,3.3040361805000003,-9.749349117333333,37.679036458333336
2023-03-14 00:00:00,-2.124023497,3.29589825875,-10.3515622625,37.2314453125
2023-03-14 01:00:00,-2.2135416666666665,3.483072996,-9.993489583333334,37.890625
